ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,,,,,,
1,335258.41,7402126.96,355030882000068,3550308005066,82,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 1,"ARMANDO DE AGUIAR PUPO,DR-AE (TUCURUVI)","NOVA CANTAREIRA,AV,1476",TUCURUVI,69526700,2331002,2751984.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
2,330718.87,7378387.13,355030858000063,3550308005213,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AE (PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56126742,4463010,2751925.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
3,326981.38,7400101.52,355030829000046,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,FREGUESIA DO O-AE,"BONIFACIO CUBAS,R,304",FREGUESIA DO O,39315956,2731000,2751879.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
4,332995.03,7383255.78,355030838000094,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,"GERALDO S FERREIRA,DR-AE","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",PQ JABAQUARA,55882366,4309011,2042991.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
5,353914.60,7395645.66,355030847000085,3550308005261,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,GUAIANAZES-AE,"OSVALDO DE OLIVEIRA,PROF,AV,610",JD. HELENA,65578844,8420280,2026996.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
6,336251.62,7394030.64,355030853000041,3550308005018,53,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR-AE(MOOCA)","MARINA CRESPI,R,91",MOOCA,62929512,3112090,2751917.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
7,326173.85,7375429.48,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-AE,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703,4828070,2751887.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
8,323191.49,7390439.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI-AE,"JOAO GUERRA,R,247",JD. PERI PERI,37429513,5535100,2027240.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
9,353528.63,7394455.08,355030847000033,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV-AE,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,,,2751895.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
10,348283.61,7395290.16,355030805000008,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,"MANUEL DA NOBREGA,PE-AE","FRANCISCO DE TOLEDO,PE,AV,545",COHAB PADRE M. DA NOBREGA,67417296,3590120,2027070.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
11,327961.47,7403030.77,355030811000289,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,"MARIA CECILIA F DONNANGELO,PROFA-AE","RUI DE MORAIS APOCALIPSE,R,2",JD. DO TIRO,39217759,2742260,2788071.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
12,328169.34,7371815.92,355030830000013,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,"MILTON ALDRED,DR-AE","SAO CAETANO DO SUL,R,381",GRAJAU,59322015,4840230,2751909.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
13,322380.39,7410631.77,355030861000051,3550308005242,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-AE,"JULIO DE OLIVEIRA,R,80",CAIUBA,,5201070,3094340.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
14,327932.24,7396500.18,355030860000092,3550308005055,60,PERDIZES,8,LAPA,Oeste,Oeste,PQ  LAPA DR. FERNANDO RAMIRES CRUZ-AE,"COTOXO,R,664",V POMPEIA,38652213,5021000,2751941.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
15,347647.90,7387918.61,355030876000172,3550308005209,76,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA-AE,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,69623480,3976020,2751968.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
16,352849.89,7400793.72,355030874000093,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA-AE,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,,8010130,2751976.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
17,330722.88,7380864.80,355030822000013,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V JOANIZA-AE,"LUIS VIVES,R,85",V JOANIZA,56220844,4404150,2751828.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,,,,,,
