ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS
1,319501.13,7385577.55,355030817000007,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AE,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,58436257.000000,5760140.000000,2091682,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
2,353528.63,7394455.08,355030847000033,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV-AE,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,65232158.000000,8255130.000000,2751895,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
3,352849.89,7400793.72,355030874000093,3550308005196,74,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA-AE,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,69569099.000000,8010130,2751976,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
4,326981.38,7400101.52,355030829000046,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,FREGUESIA DO O-AE,"BONIFACIO CUBAS,R,304",FREGUESIA DO O,39315956.000000,2731000,2751879,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
5,331132.48,7393302.18,355030807000097,3550308005011,7,BELA VISTA,9,SE,Centro,Centro,CENTRO - AE,"CARLOS COMENALLE,R,32",BELA VISTA,2830005.000000,1332030,2068982,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
6,326173.85,7375429.48,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-AE,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703.000000,4828070,2751887,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
7,332058.39,7385863.71,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,"POSTO CECI  ""DR ALEXANDRE KALIL YASBEK ""- AE","CECI,AV,2235",PLANALTO PAULISTA,22751999.000000,4065004,2751844,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
8,338411.09,7391166.16,355030893000090,3550308005042,93,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V PRUDENTE-AE,"CENTENARIO DE V PRUDENTE,PCA,108",V  PRUDENTE,22731665.000000,3132050,2751852,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
9,330718.87,7378387.13,355030858000063,3550308005213,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AE (PEDREIRA),"CORREGO AZUL,R,433",PEDREIRA,56115044.000000,4463010,2751925,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
10,327932.24,7396500.18,355030860000092,3550308005055,60,PERDIZES,8,LAPA,Oeste,Oeste,PQ  LAPA DR. FERNANDO RAMIRES CRUZ-AE,"COTOXO,R,664",V POMPEIA,38652213.000000,5021000,2751941,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
