ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,SA_CLASSE,CLASSE,LEITOS
1,322986.68,7381815.77,355030846000047,3550308005225,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD IBIRAPUERA-AE,"PHILIPE DE VITRY,R,280",JD STA JOSEFINA,58947251,5819080,2091658,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
2,319501.13,7385577.55,355030817000007,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AE,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,58436257,5760140,2091682,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
3,319501.13,7385577.55,355030817000007,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA- AMA,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,58436257,5760140,2091682,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
4,326173.85,7375429.48,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-AE,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703,4828070,2751887,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
5,323191.49,7390439.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI- AE,"JOAO GUERRA,R,247",JD. PERI PERI,37420552,5535100,2027240,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
6,323191.49,7390439.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI- AMA,"JOAO GUERRA,R,247",JD. PERI PERI,37420552,5535100,2027240,1,Municipal,4,ASSISTENCIA MEDICA AMBULATORIAL,,,6,URGENCIA/EMERGENCIA,0
7,327932.24,7396500.18,355030860000092,3550308005055,60,PERDIZES,8,LAPA,Oeste,Oeste,PQ  LAPA DR. FERNANDO RAMIRES CRUZ-AE,"COTOXO,R,664",V POMPEIA,38652213,5021000,2751941,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
8,326981.38,7400101.52,355030829000046,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,FREGUESIA DO O-AE,"BONIFACIO CUBAS,R,304",FREGUESIA DO O,39315956,2731000,2751879,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
9,327961.47,7403030.77,355030811000289,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,"MARIA CECILIA F DONNANGELO,PROFA-AE","RUI DE MORAIS APOCALIPSE,R,2",BRASILANDIA,39217759,2842260,2788071,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
10,322380.39,7410631.77,355030861000051,3550308005242,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-AE,"JULIO DE OLIVEIRA,R,80",V FLAMENGO,39171263,5201070,3094340,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,,,1,AMBULATORIOS ESPECIALIZADOS,0
