ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,,,
2,322905.93,7381593.71,355030846000045,3550308005225,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD IBIRAPUERA-AE,"PHILIPE DE VITRY,R,280",JD STA JOSEFINA,58947251.000000,5819080,2091658,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
3,319801.56,7385478.37,355030817000009,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AE,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,58436257.000000,5760140.000000,2091682,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
4,319801.56,7385478.37,355030817000009,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AMA,"AMADEU DA SILVA SAMELO,R,423",JARDIM MARTINICA,58436257.000000,5760140.000000,6131670.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
5,326187.93,7375428.32,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-AE,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703.000000,4828070,2751887.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
6,323217.66,7390469.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI-AE,"JOAO GUERRA,R,247",JD. PERI PERI,37420552.000000,5535100,2027240.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
7,323217.66,7390469.37,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI-AMA,"JOAO GUERRA,R,247",JD. PERI PERI,37420552.000000,5535100,6156959.000000,1,Municipal,4,ASSISTÊNCIA MÉDICA AMBULATORIAL,6,URGENCIA/EMERGENCIA,0,,,
8,327932.24,7396500.18,355030860000092,3550308005055,60,PERDIZES,8,LAPA,Oeste,Oeste,PQ  LAPA DR. FERNANDO RAMIRES CRUZ-AE,"GAVIAO PEIXOTO,BRIG,727",LAPA,38628017.000000,5078000.000000,2751941.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
9,327013.79,7400107.66,355030829000045,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,FREGUESIA DO O-AE,"BONIFACIO CUBAS,R,304",FREGUESIA DO O,39315956.000000,2731000,2751879.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
10,327921.33,7403064.53,355030811000037,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 2,"MARIA CECILIA F DONNANGELO,PROFA-AE","RUI DE MORAIS APOCALIPSE,R,2",BRASILANDIA,39217759.000000,2842260.000000,2788071.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
11,322362.51,7410707.53,355030861000051,3550308005242,61,PERUS,1,PERUS,Norte,Norte 2,PERUS-AE,"JULIO DE OLIVEIRA,R,80",V FLAMENGO,39171263.000000,5201070,3094340.000000,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0,,,
