NOME DO ARQUIVO,VARIAVEL,NOME DA VARIAVEL,DESCRICAO DA VARIAVEL,FONTE,TIPO,TAMANHO,,,
DEINFO_SA_CADSAU_2010,ID,Identificador,Número de identificação do estabelecimento georreferenciado,SMDU/Deinfo,TEXTO,04,,,
DEINFO_SA_CADSAU_2010,COORD_E,Coordenada Leste,Coordenada Leste em metro (UTM/SIRGAS2000),SMDU/Deinfo,TEXTO,9,,,
DEINFO_SA_CADSAU_2010,COORD_N,Coordenada Norte,Coordenada Norte em metro (UTM/SIRGAS2000),SMDU/Deinfo,TEXTO,10,,,
DEINFO_SA_CADSAU_2010,SETCENS,Setor censitário,Setor censitário ,IBGE,TEXTO,15,,,
DEINFO_SA_CADSAU_2010,AREAP,Área de ponderação,Área de ponderação (agrupamento de setores censitários) ,IBGE,TEXTO,05,,,
DEINFO_SA_CADSAU_2010,CODDIST,Código do distrito,Código do Distrito Municipal ,IBGE,TEXTO,07,,,
DEINFO_SA_CADSAU_2010,DISTRITO,Distrito municipal,Nome do Distrito Municipal,SMDU/Deinfo,TEXTO,18,,,
DEINFO_SA_CADSAU_2010,CODSUBPREF,Código da Subprefeitura,Código da Subprefeitura,SMDU/Deinfo,TEXTO,10,,,
DEINFO_SA_CADSAU_2010,SUBPREF,Subprefeitura,Nome da Subprefeitura,SMDU/Deinfo,TEXTO,26,,,
DEINFO_SA_CADSAU_2010,REGIAO5,Região conforme divisão do Município em 5 áreas,Região conforme divisão do Município em 5 áreas,SMDU/Deinfo,TEXTO,07,,,
DEINFO_SA_CADSAU_2010,REGIAO8,Região conforme divisão do Município em 8 áreas,Região conforme divisão do Município em 8 áreas,SMDU/Deinfo,TEXTO,07,,,
DEINFO_SA_CADSAU_2010,ESTAB_SA,Estabelecimento de saúde,Denominação  do estabelecimento de saúde,CNES/SMS/Ceinfo,TEXTO,78,,,
DEINFO_SA_CADSAU_2010,ENDERECO,Endereço,Endereço,SMS/Ceinfo,TEXTO,50,,,
DEINFO_SA_CADSAU_2010,BAIRRO,Bairro,Bairro,SMS/Ceinfo,TEXTO,33,,,
DEINFO_SA_CADSAU_2010,TELEFONE,Telefone,Telefone,SMS/Ceinfo,TEXTO,09,,,
DEINFO_SA_CADSAU_2010,CEP,Código de endereçamento postal,Número do CEP,SMS/Ceinfo,TEXTO,09,,,
DEINFO_SA_CADSAU_2010,CNES,Cadastro Nacional de Estabelecimentos de Saúde,Número do estabelecimento junto ao Ministério da Saúde,Min. Saúde/CNES,TEXTO,08,,,
DEINFO_SA_CADSAU_2010,SA_DEPADM,Código da dependência administrativa,Código da esfera administrativa,SMDU/Deinfo,CATEGORIA,01,,,
DEINFO_SA_CADSAU_2010,DEPADM,Dependência administrativa ,Identificação da esfera administrativa,SMDU/Deinfo,CATEGORIA,09,,,
DEINFO_SA_CADSAU_2010,SA_TIPO,Código do tipo de estabelecimento,Código do tipo de estabelecimento,SMS/Ceinfo,CATEGORIA,02,,,
DEINFO_SA_CADSAU_2010,TIPO,Tipo de estabelecimento,Tipo de estabelecimento,SMS/Ceinfo,CATEGORIA,68,,,
DEINFO_SA_CADSAU_2010,SA_CLASSE,Código da classe dos tipos de estabelecimentos de saúde,Código da classificação dos tipos de estabelecimentos de saúde,SMDU/Deinfo,CATEGORIA,02,,,
DEINFO_SA_CADSAU_2010,CLASSE,Classe dos tipos de estabelecimentos de saúde,Classificação dos tipos de estabelecimentos de saúde,SMDU/Deinfo,CATEGORIA,49,,,
DEINFO_SA_CADSAU_2010,LEITOS,Leitos hospitalares,Número de leitos hospitalares,Min. Saúde/CNES,VALOR,04,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
