ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS
1,319108.42,7380764.47,355030819000016,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO - AMA ESPECIALIDADES,"AV COMEN SANT'ANNA, 774",JD. BOA ESPERANCA,58729902,5866000,6194974,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
2,331055.43,7400384.23,355030821000001,3550308005062,21,CASA VERDE,04,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,PQ PERUCHE-AMA ESPECIALIDADES,"R JOSE RANGEL DE CAMARGO, 500",PQ PERUCHE,38589865,2538010,6148336,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
3,330196.17,7380955.02,355030822000066,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V CONSTANCIA -AMA ESPECIALIDADES,"R HERMENEGILDO MARTINI, SN",V CONSTANCIA,55626944,4438280,6415415,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
4,326183.88,7373067.87,355030823000196,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD ICARAI I (QUINTANA) -AMA ESPECIALIDADES,"R S ROQUE DO PARAGUACU, 190",V QUINTANA,59280272,4837150,6360890,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
5,351434.05,7396009.19,355030837000019,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA-AMA ESPECIALIDADES,"R AMERICO SALVADOR NOVELLI, 265",ITAQUERA,20712422,8210090,6394558,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
6,322187.96,7382341.35,355030846000093,3550308005224,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD SAO LUIS - AMA ESPECIALIDADES,"R LUIS ANTONIO VERNEY, 98",JD SAO LUIZ,55111153,5846380,6200389,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
7,320319.60,7410136.29,355030861000009,3550308005243,61,PERUS,01,PERUS,Norte,Norte 2,PERUS - AMA ESPECIALIDADES,"R MOGEIRO, 207",PERUS,39156001,5208230,6391893,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
8,325218.08,7402628.46,355030863000213,3550308005115,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,VILA ZATT - AMA ESPECIALIDADES,"R MONS MANOEL GOMES, 77",PIRITUBA,29057164,2975120,6391885,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
9,347833.10,7397761.64,355030864000052,3550308005143,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA -AMA ESPECIALIDADES,"R JOSE SILVA ALCANTARA FILHO, 1031",BURGO PAULISTA,22800080,3680000,6393608,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
10,336287.93,7385865.18,355030868000033,3550308005088,68,SACOMA,13,IPIRANGA,Sul,Sul 1,V DAS MERCES- AMA ESPECIALIDADES,"R N SRA DAS MERCES, 1315",V DAS MERCES,23513291,4165001,6357083,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
11,331319.42,7396607.58,355030869000001,3550308005027,69,SANTA CECILIA,09,SE,Centro,Centro,"HUMBERTO PASCALI,DR STA CECILIA - AMA ESPECIALIDADES","R VITORINO CARMILO, 599",CAMPOS ELISEOS,36620781,1153000,6138314,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
