Nome;Distrito
Alto Da Mooca;Agua Rasa
Vila Bertioga;Agua Rasa
Vila Canero;Agua Rasa
Vila Celeste;Agua Rasa
Vila Claudia;Agua Rasa
Vila Clotilde;Agua Rasa
Vila Diva;Agua Rasa
Vila Formosa;Agua Rasa
Vila Graciosa;Agua Rasa
Jardim Guanabara;Agua Rasa
Vila Haddad;Agua Rasa
Vila Invernada;Agua Rasa
Jardim It lia;Agua Rasa
Vila Leme;Agua Rasa
Vila Libanesa;Agua Rasa
Vila L£cia Elvira;Agua Rasa
Ch cara Mafalda;Agua Rasa
Vila Orat¢rio;Agua Rasa
Ch cara Para¡so;Agua Rasa
Vila Paulina;Agua Rasa
Vila Regente Feij¢;Agua Rasa
Vila Rio Branco;Agua Rasa
Vila Santa Clara;Agua Rasa
Jardim Santa Rita;Agua Rasa
Parque Sevilha;Agua Rasa
Jardim Silveira;Agua Rasa
