Localidades,Localidades,SIGLA_DIST,zl,,Periodo,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,55a59,60a64,65a69,70a74,75Mais,cod ibge
Agua Rasa,agua Rasa,ARA,,,2018,4563,4389,3865,4272,4944,5653,6438,6740,6429,5800,5756,5820,5179,4232,3277,5770,
Alto de Pinheiros,Alto de Pinheiros,API,,,2018,1642,1718,1702,1847,2193,2617,2969,3169,3190,2900,3028,3153,2876,2546,2080,3791,
Anhanguera,Anhanguera,ANH,,,2018,5858,5588,5702,6824,7877,7700,7235,6650,6379,6129,5263,3887,2683,1672,936,886,
Aricanduva,Aricanduva,ARI,Zona Sudeste,,2018,5070,5003,4829,5563,6255,6494,7086,6976,6418,6074,5757,5298,4646,3775,2945,4312,
Artur Alvim,Artur Alvim,AAL,,,2018,6004,5986,5755,6459,7348,7753,8629,8845,8086,7003,6302,5891,5220,4364,3285,4379,
Barra Funda,Barra Funda,BFU,,,2018,985,919,749,755,833,1058,1393,1522,1393,1134,956,935,848,717,554,994,
Bela Vista,Bela Vista,BVI,,,2018,4052,3563,2640,2624,3175,4866,7917,8613,6848,5354,4703,4364,3997,3384,2513,4001,
Belem,Belem,BEL,,,2018,3951,3500,2511,2530,2752,3265,4319,4533,3873,3174,2889,2760,2421,1966,1408,2638,
Bom Retiro,Bom Retiro,BRE,,,2018,2893,2682,2186,2297,2547,3011,3672,3592,3028,2466,2209,1944,1667,1300,919,1611,
Bras,Bras,BRS,,,2018,2722,2366,1708,1853,2100,2583,3228,3154,2711,2250,1915,1684,1403,1032,717,952,
Brasilandia,Brasilandia,BRL,,,2018,23418,21493,19445,22679,24654,23810,23863,22475,20025,18013,15965,13196,10474,7708,5243,6120,
Butanta,Butanta,BUT,,,2018,2697,2606,2285,2421,2812,3710,5064,5305,4492,3782,3545,3450,3212,2787,2158,3644,
Cachoeirinha,Cachoeirinha,CAC,,,2018,11204,10638,9646,10841,11940,12102,12610,12261,10845,9522,8677,7654,6259,4557,3088,3844,
Cambuci,Cambuci,CMB,,,2018,2473,2427,2144,2209,2399,2704,3310,3614,3429,2969,2601,2410,2129,1678,1258,2295,
Campo Belo,Campo Belo,CBE,,,2018,3315,3332,2985,3024,3217,3770,4889,5499,5373,4795,4418,4335,4030,3496,2802,4900,
Campo Grande,Campo Grande,CGR,,,2018,5758,5949,5761,6246,6935,7200,7998,8925,8946,8301,7911,7161,5982,4615,3347,4699,
Campo Limpo,Campo Limpo,CLM,,,2018,16273,15903,15109,16753,18358,18535,20102,20230,18550,15876,13285,11182,9222,6753,4448,5006,
Cangaiba,Cangaiba,CNG,,,2018,9489,8938,8080,9363,10696,11191,11938,11305,10192,9421,8888,8061,6667,5063,3640,4805,
Capao Redondo,Capao Redondo,CRE,,,2018,22405,21234,19868,22608,24704,24885,26195,25379,22685,19704,16768,13794,11278,8406,5522,5508,
Carrao,Carrao,CAR,,,2018,4324,4318,4160,4773,5483,5955,6617,6837,6543,6068,5961,5836,5066,4179,3232,5383,
Casa Verde,Casa Verde,CVE,,,2018,5514,5232,4605,5101,5704,6305,7311,7343,6558,5709,5440,5316,4732,3784,2825,4530,
Cidade Ademar,Cidade Ademar,CAD,,,2018,21195,20034,18184,20321,22591,23659,25286,24508,22132,19167,16530,14075,11802,9007,6297,7436,
Cidade Dutra,Cidade Dutra,CDU,,,2018,13988,13390,12595,14586,16246,16592,17386,16891,15510,13926,12555,10980,9264,7127,4950,5476,
Cidade Lider,Cidade Lider,CLD,ZL2,,2018,9095,8783,8418,9594,10725,11154,11707,11510,10468,9231,8190,7271,6180,4727,3219,3334,
Cidade Tiradentes,Cidade Tiradentes,CTI,ZL2,,2018,18020,17258,17537,20464,21995,20785,20006,18915,16693,14362,12394,10706,8745,6056,3557,3117,
Consolacao,Consolacao,CON,,,2018,2318,1995,1661,1796,2448,4414,6696,5999,4668,3833,3740,3910,3612,3126,2497,4724,
Cursino,Cursino,CUR,,,2018,6479,6450,5864,6221,6938,7826,9199,9746,8874,7877,7622,7520,6728,5275,3840,6504,
Ermelino Matarazzo,Ermelino Matarazzo,ERM,ZL2,,2018,8234,8024,7605,8501,9452,9782,10348,9910,8982,8150,7344,6334,5314,3999,2642,3200,
Freguesia do O,Freguesia do o,FRE,,,2018,8788,8311,7447,8637,9944,10571,11821,11923,10746,9640,9309,9041,7903,5984,4206,6290,
Grajau,Grajau,GRA,,,2018,31001,29224,27513,31955,35152,33912,33514,31766,28593,25717,22403,18069,13990,9824,6081,5489,
Guaianases,Guaianases,GUA,ZL2,,2018,8614,8060,7590,8798,9747,9576,9286,8766,7910,7076,6231,5231,4279,3114,2007,2164,
Iguatemi,Iguatemi,IGU,ZL2,,2018,11913,11022,10506,12337,13626,13068,12409,11441,10292,9604,8612,6989,5360,3718,2292,2128,
Ipiranga,Ipiranga,IPI,Zona Sudeste,,2018,6397,6293,5742,6248,7065,7888,9154,9628,8942,8082,7512,7050,6173,4931,3658,6502,
Itaim Bibi,Itaim Bibi,IBI,,,2018,4874,4871,3890,3455,3916,5281,7751,9967,9467,7495,6455,6393,6097,5344,4124,7181,
Itaim Paulista,Itaim Paulista,IPA,ZL2,,2018,17668,16882,16253,18950,21319,20734,20041,18568,16616,15286,13894,11667,9224,6588,4355,4575,
Itaquera,Itaquera,ITQ,ZL2,,2018,14970,14462,13690,15762,17497,17137,17499,17245,16270,14808,13059,11042,9147,6982,4884,5704,
Jabaquara,Jabaquara,JAB,,,2018,14455,14190,12972,14227,15993,17129,19584,20267,18494,16202,15060,13634,11472,8743,6343,9516,
Jaguara,Jacana,JAC,,,2018,1382,1342,1235,1395,1545,1709,2020,2070,1866,1643,1575,1558,1423,1173,878,1317,
Jaguare,Jaguara,JAG,,,2018,3540,3510,3329,3642,3935,4174,4789,5100,4591,3854,3307,2829,2299,1848,1411,2045,
Jaragua,Jaguare,JRE,,,2018,15644,14761,14203,16878,18474,17720,17732,17304,15876,14131,12464,10639,8406,5860,3745,3803,
Jardim Angela,Jaragua,JAR,,,2018,26633,25965,25097,28132,29910,28276,28531,28014,25605,22543,18371,14186,11154,7876,4903,4697,
Jardim Helena,Jardim Angela,JDA,ZL2,,2018,11278,10405,9401,10863,12206,11815,11550,10821,9710,8771,7719,6363,5101,3763,2554,2789,
Jardim Paulista,Jd Helena,JDH,,,2018,4183,3931,3154,3048,3542,5014,7885,9464,8251,6589,6077,6118,5926,5310,4295,7668,
Jd Sao Luis,Jd Paulista,JDP,,,2018,21335,20320,18949,21626,23699,24308,26228,25715,23086,20112,17153,14271,11626,8591,5654,6075,
Jacana,Jd Sao Luis,JDS,,,2018,5992,6018,6111,6926,7562,7698,8270,8170,7305,6287,5712,5316,4629,3595,2572,3649,
Jose Bonifacio,Jose Bonifacio,JBO,ZL2,,2018,8358,8599,9041,10236,10965,10572,11301,12127,11096,9169,7813,6849,6298,5221,3375,3349,3525706
Lajeado,Lajeado,LAJ,ZL2,,2018,13894,13143,12393,14345,16255,15674,14951,13574,12393,11347,9704,7985,6361,4491,2886,3006,
Lapa,Lapa,LAP,,,2018,3285,3322,2996,3067,3428,4077,5099,5762,5519,4931,4813,4774,4294,3549,2779,5368,
Liberdade,Liberdade,LIB,,,2018,3985,3782,3073,3128,3712,5004,6843,7378,6422,5359,4722,4474,4122,3456,2598,4148,
Limao,Limao,LIM,,,2018,5618,5219,4491,4993,5585,6125,6835,6701,6062,5310,4874,4605,4151,3295,2321,3382,
Mandaqui,Mandaqui,MAN,,,2018,6178,6008,5637,6498,7555,8162,8887,8909,8595,8188,7850,7280,6041,4664,3505,5074,
Marsilac,Marsilac,MAR,,,2018,528,533,607,758,859,751,661,583,528,491,513,467,392,284,192,223,
Moema,Moema,MOE,,,2018,3931,4078,3674,3556,4028,4951,6655,8214,8197,6998,6369,6412,6068,5273,3855,6256,
Mooca,Mooca,MOO,Zona Sudeste,,2018,4371,4267,3710,3873,4552,5477,6420,6763,6451,5952,5672,5379,4738,3746,2842,5449,
Morumbi,Morumbi,MOR,,,2018,3474,3204,2747,3129,3435,3543,3918,4175,4118,3836,3599,3250,2784,2295,1785,2622,
Parelheiros,Parelheiros,PLH,,,2018,12733,11678,11026,13144,14378,13078,12122,11634,10871,9896,8466,6802,5256,3620,2275,2129,
Pari,Pari,PRI,,,2018,1491,1351,1096,1163,1276,1479,1694,1547,1331,1217,1117,987,806,654,533,1010,
Parque do Carmo,Parque do Carmo,PQC,ZL2,,2018,5046,4938,4770,5399,5796,5865,6212,6080,5494,4875,4231,3608,3057,2346,1590,1780,
Pedreira,Pedreira,PDR,,,2018,11088,10946,10974,12440,13933,13978,14043,13392,12222,10852,9423,7774,6236,4448,2894,3045,3537107
