Localidades,periodo,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,55a59,60a64,65a69,70a74,maisDe75,cod ibge
Adamantina,2018,1767,1766,1760,2004,2354,2654,2595,2401,2333,2386,2470,2331,2016,1661,1304,2086,3500105
Adolfo,2018,169,179,202,230,245,266,257,236,231,242,252,250,220,175,135,180,3500204
Aguai,2018,2372,2348,2329,2513,2894,3083,3093,2848,2413,2187,2066,1886,1597,1251,875,1164,3500303
Aguas da Prata,2018,377,393,429,482,562,631,598,538,513,520,531,536,464,377,298,509,3500402
Aguas de Lindoia,2018,1252,1163,1032,1190,1344,1353,1414,1445,1333,1245,1196,1072,930,757,565,872,3500501
Aguas de Santa Barbara,2018,382,377,374,430,493,426,410,414,399,401,374,342,306,264,199,274,3500550
Aguas de Sao Pedro,2018,166,142,133,178,232,226,199,207,205,202,208,194,167,158,152,274,3500600
Agudos,2018,2329,2356,2356,2608,2966,3000,2956,2844,2661,2421,2184,1982,1706,1315,917,1227,3500709
Alambari,2018,359,356,396,472,520,504,500,459,376,321,295,272,247,196,142,185,3500758
Alfredo Marcondes,2018,185,185,203,246,279,317,291,260,272,275,274,258,224,197,175,282,3500808
Altair,2018,241,261,283,292,323,333,353,366,305,273,249,194,149,129,107,136,3500907
Altinopolis,2018,895,893,924,1103,1234,1210,1219,1225,1098,995,995,931,842,716,533,744,3501004
Alto Alegre,2018,191,202,217,237,275,303,326,286,265,263,269,265,240,226,187,285,3501103
Aluminio,2018,1243,1243,1296,1443,1462,1417,1457,1478,1392,1268,1101,877,688,528,379,475,3501152
Alvares Florence,2018,133,145,170,208,253,245,230,223,231,282,317,284,256,230,199,267,3501202
Alvares Machado,2018,1314,1354,1507,1770,1924,1944,1804,1666,1673,1687,1621,1424,1188,996,782,1060,3501301
Alvaro de Carvalho,2018,289,275,259,288,559,769,585,426,315,236,220,187,171,133,102,148,3501400
Alvinlandia,2018,238,231,215,239,276,240,229,234,227,189,180,165,142,114,96,127,3501509
Americana,2018,12841,12761,12455,13990,16694,18953,20173,19351,17522,16499,16126,14887,12302,9184,6441,9104,3501608
Americo Brasiliense,2018,2852,2755,2627,2893,3343,3566,3673,3420,3050,2700,2345,1840,1442,1058,725,832,3501707
Americo de Campos,2018,277,288,319,384,434,422,426,406,389,373,411,409,346,274,240,336,3501806
Amparo,2018,3781,3761,3783,4357,5051,5599,5981,5730,5181,4895,4589,4284,3671,2873,2131,3278,3501905
Analandia,2018,287,293,315,344,388,416,408,364,319,303,278,269,223,174,144,221,3502002
Andradina,2018,3218,3229,3162,3544,4134,4317,4276,4220,4156,4017,3841,3603,3032,2469,1975,2750,3502101
Angatuba,2018,1594,1568,1626,1829,2029,2037,1910,1756,1645,1600,1547,1382,1137,900,650,828,3502200
Anhembi,2018,426,427,474,542,597,542,486,479,460,417,378,335,284,221,167,232,3502309
Anhumas,2018,222,222,246,296,337,327,311,284,268,264,268,232,189,152,118,183,3502408
Aparecida,2018,2243,2261,2214,2386,2691,2909,2933,2763,2526,2464,2370,2199,1856,1404,1015,1336,3502507
Aparecida d'Oeste,2018,203,204,223,279,319,295,256,246,287,308,315,284,272,237,173,291,3502606
Apiai,2018,1736,1707,1809,2201,2375,1935,1654,1701,1684,1618,1457,1324,1100,869,641,870,3502705
Aramina,2018,326,316,306,354,424,465,458,409,357,359,382,355,276,217,170,259,3503000
Arandu,2018,388,379,395,480,560,520,454,453,450,387,364,356,310,243,177,238,3503109
Arapei,2018,148,153,168,191,215,193,171,155,153,167,183,164,120,90,72,128,3503158
Araraquara,2018,12488,12484,12196,13650,16802,18840,19959,19141,17169,15346,14830,13870,11759,9331,6730,9794,3503208
Araras,2018,7359,7365,7371,8304,10045,11140,11591,10862,9633,8845,8410,7795,6498,4934,3564,4960,3503307
Aracariguama,2018,1667,1610,1576,1678,1826,1853,1793,1597,1441,1253,1058,900,698,502,356,415,3502754
Aracatuba,2018,10358,10588,10495,11639,13551,14383,15298,15209,14453,13911,13539,12403,10427,8177,5962,8491,3502804
Aracoiaba da Serra,2018,2179,2019,1974,2331,2732,2649,2461,2302,2198,2093,1938,1747,1510,1218,893,1129,3502903
Arco-iris,2018,97,102,103,112,135,144,128,126,122,127,126,120,112,86,79,113,3503356
Arealva,2018,445,436,465,552,621,639,593,550,520,516,553,540,465,400,336,496,3503406
Areias,2018,275,265,281,326,355,306,262,260,265,250,231,207,170,119,92,143,3503505
Areiopolis,2018,765,767,796,891,915,937,946,824,781,764,661,537,411,300,215,278,3503604
Ariranha,2018,547,558,569,624,699,773,853,762,690,638,564,498,434,352,243,367,3503703
Artur Nogueira,2018,3226,3202,3353,3834,4332,4617,4829,4455,3867,3473,3083,2607,2061,1573,1130,1450,3503802
Aruja,2018,6862,6202,5896,6968,7727,7602,7341,6933,6280,5682,5140,4426,3635,2606,1622,1824,3503901
Aspasia,2018,85,87,93,112,129,138,120,102,111,137,153,124,106,91,77,109,3503950
Assis,2018,5816,5867,5758,6359,7695,8456,8464,7736,7328,6779,6630,6223,5315,4156,3073,4529,3504008
Atibaia,2018,9517,8984,8475,9847,10848,11038,11211,10810,10105,9245,8646,7848,6425,4983,3754,5371,3504107
Auriflama,2018,716,739,786,900,1066,1215,1141,1087,1061,1044,1054,935,767,637,514,767,3504206
Avai,2018,321,324,347,403,491,469,389,358,358,342,325,296,249,204,145,202,3504305
Avanhandava,2018,786,774,766,855,1363,1266,1025,901,764,741,707,570,459,360,267,345,3504404
Avare,2018,5387,5482,5526,6127,7005,7092,7214,6939,6376,5752,5345,4889,4251,3389,2444,3451,3504503
Bady Bassitt,2018,862,884,946,1107,1308,1326,1317,1317,1323,1241,1093,946,777,572,421,597,3504602
Balbinos,2018,72,80,89,118,589,770,674,405,212,173,129,98,92,71,43,84,3504701
Balsamo,2018,438,447,442,491,602,640,664,673,633,607,624,564,466,387,301,481,3504800
Bananal,2018,689,694,709,782,853,791,752,772,748,689,670,615,517,430,339,510,3504909
Barao de Antonina,2018,209,211,237,271,290,262,226,211,216,191,200,209,182,141,109,163,3505005
Barbosa,2018,495,470,478,565,647,606,551,496,475,449,453,396,321,262,201,277,3505104
Bariri,2018,1947,1946,2072,2415,2686,2725,2784,2595,2309,2159,2129,2026,1721,1346,1023,1657,3505203
Barra Bonita,2018,1781,1813,1873,2131,2455,2622,2750,2830,2774,2684,2656,2407,1948,1505,1130,1612,3505302
Barra do Chapeu,2018,410,402,418,490,526,423,381,380,366,344,300,274,230,177,141,208,3505351
Barra do Turvo,2018,607,595,633,725,738,557,452,455,466,430,399,382,352,301,242,342,3505401
Barretos,2018,6674,6849,6951,7629,8760,9690,10155,9660,8713,7970,7673,7137,5934,4671,3518,4989,3505500
Barrinha,2018,2388,2373,2346,2480,2678,2854,3050,2806,2369,2032,1739,1437,1093,759,513,657,3505609
Barueri,2018,22546,20814,17781,19456,21010,20975,22257,21836,19771,17811,15879,13180,10228,7183,4416,4650,3505708
Bastos,2018,1256,1284,1326,1449,1567,1560,1493,1444,1411,1439,1447,1290,1046,814,605,853,3505807
Batatais,2018,3404,3423,3528,4029,4673,5010,5001,4795,4260,3864,3832,3612,3163,2478,1792,2653,3505906
Bauru,2018,20843,21199,21498,24050,27654,28985,30351,30079,27215,24835,23656,21786,18414,14295,10416,15202,3506003
Bebedouro,2018,4042,4243,4453,5043,5655,5799,5941,5867,5547,5235,4927,4597,4012,3197,2389,3426,3506102
Bento de Abreu,2018,180,179,182,206,234,232,248,239,220,212,185,148,126,103,77,121,3506201
Bernardino de Campos,2018,673,663,656,731,854,852,765,712,713,699,703,668,565,485,392,649,3506300
Bertioga,2018,5155,4771,4546,5054,5302,5192,5228,4936,4532,3890,3212,2592,2049,1527,1026,1108,3506359
Bilac,2018,405,372,365,478,602,652,652,606,564,553,518,473,422,345,264,405,3506409
Birigui,2018,6457,6607,6822,7649,9107,9891,10192,9960,9434,8952,8225,7161,5950,4603,3377,4573,3506508
Biritiba-Mirim,2018,2269,2202,2267,2593,2828,2752,2615,2351,2150,2029,1826,1540,1241,1068,818,1022,3506607
Boa Esperanca do Sul,2018,958,975,1013,1126,1246,1206,1191,1157,1032,933,890,770,629,493,344,433,3506706
Bocaina,2018,757,728,736,861,973,1020,1034,996,882,789,746,651,535,431,297,452,3506805
Bofete,2018,707,683,743,874,973,894,793,743,707,660,611,559,532,467,373,471,3506904
Boituva,2018,3769,3668,3609,4008,4556,4998,5271,4902,4259,3710,3265,2776,2279,1766,1245,1549,3507001
Bom Jesus dos Perdoes,2018,1577,1524,1598,1858,2054,2078,2085,1950,1724,1559,1385,1218,926,681,526,656,3507100
Bom Sucesso de Itarare,2018,337,319,315,360,394,323,261,260,256,238,198,158,126,97,68,87,3507159
Bora,2018,41,45,48,49,69,71,65,79,64,56,52,53,43,27,20,28,3507209
Boraceia,2018,320,313,307,333,398,424,397,351,313,298,270,240,203,176,137,182,3507308
Borborema,2018,825,842,901,1028,1113,1215,1293,1212,1106,1026,1016,962,808,641,478,717,3507407
Borebi,2018,177,173,180,202,237,230,199,174,169,160,158,132,109,84,54,86,3507456
Botucatu,2018,8560,8478,8504,9522,10796,11486,11962,11499,10286,9104,8477,7898,6837,5416,3945,5820,3507506
Braganca Paulista,2018,10262,9773,9363,11056,13094,13665,13828,13356,12263,10852,9952,9174,7720,6043,4448,5991,3507605
Brauna,2018,305,307,322,360,429,473,503,437,375,351,320,297,274,215,174,310,3507704
Brejo Alegre,2018,145,148,166,209,229,220,219,239,227,190,163,145,129,104,84,115,3507753
Brodowski,2018,1392,1353,1447,1757,2050,2119,1998,1808,1652,1568,1498,1319,1080,844,621,924,3507803
Brotas,2018,1532,1498,1505,1690,1952,1991,1946,1859,1699,1539,1418,1286,1071,836,653,948,3507902
Buri,2018,1641,1603,1589,1734,1726,1513,1382,1354,1311,1185,1042,941,773,598,444,592,3508009
Buritama,2018,932,959,980,1038,1244,1344,1343,1261,1206,1174,1103,1015,847,688,546,697,3508108
Buritizal,2018,242,250,254,270,305,334,363,349,314,287,267,247,222,192,150,213,3508207
Cabralia Paulista,2018,255,271,304,342,387,355,318,323,304,300,267,235,204,160,124,164,3508306
Cabreuva,2018,3524,3435,3500,3880,4284,4392,4374,3989,3502,3156,2739,2192,1671,1281,890,1033,3508405
Cachoeira Paulista,2018,1946,1992,2061,2258,2487,2560,2613,2581,2341,2070,1987,1903,1609,1255,919,1243,3508603
Caconde,2018,1151,1149,1266,1529,1642,1471,1313,1246,1202,1176,1218,1130,958,817,632,886,3508702
Cafelandia,2018,1071,1065,1033,1151,1337,1353,1345,1322,1248,1150,1079,1000,890,717,534,826,3508801
Caiabu,2018,253,247,237,272,320,343,313,262,256,290,306,261,206,168,137,228,3508900
Caieiras,2018,6623,6541,6625,7533,8560,8642,8504,7981,7382,6901,6356,5323,4065,2900,1850,1977,3509007
Caiua,2018,294,284,323,434,513,469,413,367,343,377,395,355,275,228,168,251,3509106
Cajamar,2018,5905,5604,5299,5836,6578,6893,7040,6554,5758,4932,4189,3465,2617,1779,1157,1304,3509205
Cajati,2018,2254,2241,2300,2585,2670,2224,1993,2070,2035,1777,1579,1386,1152,902,670,957,3509254
Cajobi,2018,525,531,578,675,757,868,901,813,700,672,670,624,505,416,328,483,3509304
Cajuru,2018,1768,1699,1662,1880,2167,2199,2061,1883,1726,1618,1524,1357,1115,871,670,1006,3509403
Campina do Monte Alegre,2018,385,384,411,474,491,453,447,418,385,369,357,313,262,228,160,226,3509452
Campinas,2018,70199,68967,65383,73885,87477,96032,104447,101700,90078,80003,74139,67460,57699,44583,32018,44874,3509502
Campo Limpo Paulista,2018,5502,5480,5444,5937,6733,7023,7056,6660,6018,5506,4993,4478,3732,2742,1767,2055,3509601
Campos do Jordao,2018,3702,3545,3413,3881,4232,4025,3893,3878,3744,3508,3204,2741,2147,1534,1015,1204,3509700
Campos Novos Paulista,2018,297,305,341,386,403,354,342,353,321,300,302,263,216,199,160,218,3509809
Cananeia,2018,911,889,911,1054,1111,910,799,845,863,736,671,654,589,476,360,510,3509908
Canas,2018,375,375,387,406,443,433,419,369,312,298,296,253,192,143,99,129,3509957
Candido Mota,2018,1722,1799,1864,2031,2309,2406,2373,2168,2078,2052,2066,1908,1607,1267,954,1393,3510005
Candido Rodrigues,2018,135,133,136,157,168,209,219,183,173,179,200,197,151,128,123,183,3510104
Canitar,2018,367,355,401,485,449,401,395,396,353,282,240,213,168,140,98,119,3510153
Capao Bonito,2018,3335,3280,3372,3896,4053,3644,3360,3368,3308,3016,2716,2406,2027,1650,1262,1610,3510203
Capela do Alto,2018,1403,1311,1380,1659,1835,1826,1711,1550,1429,1272,1131,958,780,638,476,554,3510302
Capivari,2018,3633,3564,3546,3880,4346,4652,4659,4363,3959,3569,3265,2804,2289,1703,1196,1672,3510401
Caraguatatuba,2018,7903,7657,7719,8759,9695,9554,9289,9051,8396,7450,6534,5709,5017,4044,2914,3517,3510500
Carapicuiba,2018,30082,29480,27437,29450,30548,30340,32950,33303,30292,26793,23214,19852,16772,12705,8213,8579,3510609
Cardoso,2018,613,657,720,769,853,898,881,835,788,765,787,776,701,580,467,650,3510708
Casa Branca,2018,1778,1738,1700,1960,2508,2557,2543,2379,1926,1818,1847,1676,1477,1183,860,1286,3510807
Cassia dos Coqueiros,2018,135,139,156,190,217,194,168,170,157,172,172,168,145,117,81,137,3510906
Castilho,2018,1294,1285,1303,1459,1745,1756,1596,1466,1463,1378,1255,1137,961,764,563,766,3511003
Catanduva,2018,6245,6436,6388,6988,8349,9226,9809,9605,8769,8339,8096,7354,6324,5026,3733,5748,3511102
Catigua,2018,422,434,459,499,540,595,651,636,563,532,525,457,370,287,199,286,3511201
Cacapava,2018,5878,5886,5794,6317,6987,7133,7447,7449,6861,6214,5696,5173,4330,3374,2441,3077,3508504
Cedral,2018,446,446,474,564,645,687,714,692,667,614,571,514,448,371,311,509,3511300
Cerqueira Cesar,2018,1238,1219,1290,1441,1603,1663,1511,1363,1301,1215,1123,1030,877,702,529,774,3511409
Cerquilho,2018,2710,2659,2663,3074,3626,3928,4174,3913,3503,3080,2824,2525,2134,1636,1147,1568,3511508
Cesario Lange,2018,1086,1087,1089,1182,1356,1466,1590,1492,1321,1128,970,844,710,607,462,561,3511607
Charqueada,2018,1115,1082,1072,1201,1399,1517,1515,1348,1207,1073,939,864,712,558,414,555,3511706
Chavantes,2018,858,848,817,895,977,900,887,915,863,812,749,687,602,498,388,505,3557204
Clementina,2018,600,590,558,539,613,798,866,689,532,470,444,397,319,244,167,261,3511904
Colina,2018,1015,1033,1071,1223,1366,1446,1495,1372,1239,1195,1183,1079,872,697,531,751,3512001
Colombia,2018,420,403,381,437,498,513,485,482,455,403,368,337,274,219,171,191,3512100
Conchal,2018,1932,1871,1839,2070,2296,2395,2418,2181,1866,1684,1570,1348,1101,851,629,830,3512209
Conchas,2018,1117,1134,1167,1249,1310,1275,1278,1226,1138,1078,1085,1026,865,674,534,810,3512308
Cordeiropolis,2018,1546,1490,1485,1693,1908,2069,2160,2018,1820,1609,1423,1253,1046,797,580,835,3512407
Coroados,2018,320,335,356,384,477,514,493,464,444,403,361,339,297,230,158,227,3512506
Coronel Macedo,2018,283,303,343,389,428,364,328,304,314,319,320,329,270,205,154,211,3512605
Corumbatai,2018,229,229,250,312,340,311,316,299,286,270,246,223,187,157,123,167,3512704
Cosmopolis,2018,4521,4506,4647,5104,5699,6196,6428,6027,5280,4656,4217,3555,2744,2032,1433,1793,3512803
Cosmorama,2018,326,343,371,438,482,479,534,532,469,478,497,476,445,388,312,468,3512902
Cotia,2018,18743,17290,16317,18542,20454,20278,20474,20079,18221,16129,14212,12023,9534,6763,4300,4830,3513009
Cravinhos,2018,2103,2087,2155,2485,2808,2910,2959,2788,2493,2283,2103,1901,1591,1187,861,1182,3513108
