"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Água Rasa";"2014";"4702";"3907";"4151";"4745";"5388";"6453";"6895";"6790";"6054";"5880";"6146";"5665";"4753";"3843";"3003";"5793";
"Alto de Pinheiros";"2014";"1771";"1730";"1800";"2075";"2495";"2997";"3182";"3369";"2986";"3026";"3307";"3030";"2764";"2330";"1896";"3560";
"Anhanguera";"2014";"5526";"5377";"6056";"7084";"7028";"7016";"6512";"6261";"6130";"5516";"4181";"2963";"1943";"1126";"647";"691";
"Aricanduva";"2014";"5318";"4922";"5478";"6276";"6401";"7279";"7416";"6821";"6426";"6167";"5712";"5193";"4287";"3504";"2692";"3995";
"Artur Alvim";"2014";"6347";"5929";"6375";"7363";"7663";"8836";"9362";"8736";"7615";"6731";"6424";"5793";"5025";"3981";"2918";"4029";
"Barra Funda";"2014";"965";"731";"702";"723";"898";"1289";"1492";"1408";"1182";"949";"945";"895";"762";"640";"449";"1003";
"Bela Vista";"2014";"3864";"2664";"2494";"2868";"4174";"7516";"8911";"7263";"5540";"4797";"4471";"4194";"3685";"2897";"2061";"3826";
"Belém";"2014";"3865";"2529";"2428";"2637";"2991";"4216";"4667";"4075";"3315";"2919";"2898";"2576";"2222";"1634";"1266";"2691";
"Bom Retiro";"2014";"2851";"2157";"2162";"2360";"2704";"3614";"3648";"3189";"2517";"2270";"2031";"1774";"1461";"1053";"825";"1549";
"Brás";"2014";"2667";"1702";"1785";"1967";"2307";"3189";"3264";"2860";"2375";"2014";"1778";"1555";"1178";"856";"583";"873";
"Brasilândia";"2014";"23250";"19534";"22182";"24822";"23668";"24646";"23831";"21385";"19131";"17422";"14545";"11946";"9028";"6540";"4298";"5533";
"Butantã";"2014";"2755";"2306";"2353";"2620";"3312";"4926";"5522";"4778";"3943";"3633";"3596";"3409";"3075";"2494";"1924";"3524";
"Cachoeirinha";"2014";"11487";"9851";"10727";"11974";"12067";"13002";"13046";"11743";"10174";"9388";"8380";"7178";"5368";"3856";"2570";"3605";
"Cambuci";"2014";"2493";"2114";"2063";"2200";"2413";"3146";"3573";"3494";"3062";"2647";"2477";"2276";"1864";"1430";"1153";"2269";
"Campo Belo";"2014";"3513";"3063";"3002";"3123";"3490";"4799";"5588";"5633";"5071";"4549";"4542";"4289";"3874";"3179";"2615";"4687";
"Campo Grande";"2014";"6022";"5712";"5934";"6697";"6974";"7836";"8843";"9163";"8409";"8093";"7487";"6445";"5114";"3842";"2797";"4153";
"Campo Limpo";"2014";"16553";"15215";"16151";"18094";"17719";"20128";"20875";"19590";"16893";"14274";"11973";"10277";"7798";"5435";"3485";"4298";
"Cangaiba";"2014";"9635";"8184";"9118";"10623";"10933";"12311";"11984";"10815";"9945";"9439";"8769";"7496";"5868";"4378";"3165";"4398";
"Capão Redondo";"2014";"22335";"19769";"21811";"24221";"23831";"26354";"26357";"23932";"20801";"18051";"14875";"12496";"9724";"6758";"4216";"4467";
"Carrão";"2014";"4419";"4063";"4499";"5245";"5700";"6576";"6883";"6692";"6190";"5984";"6095";"5432";"4591";"3739";"2865";"5228";
"Casa Verde";"2014";"5616";"4654";"4964";"5574";"5970";"7364";"7652";"6998";"6006";"5640";"5632";"5203";"4311";"3345";"2568";"4432";
"Cidade Ademar";"2014";"21303";"18317";"19726";"22149";"22768";"25724";"25510";"23503";"20322";"17771";"15121";"13108";"10345";"7627";"5169";"6479";
"Cidade Dutra";"2014";"14235";"12644";"14195";"16113";"16208";"17813";"17646";"16461";"14688";"13452";"11811";"10321";"8165";"6067";"3910";"4703";
"Cidade Lider";"2014";"9168";"8359";"9258";"10369";"10709";"11730";"11917";"11007";"9726";"8672";"7762";"6850";"5445";"3947";"2517";"2788";
"Cidade Tiradentes";"2014";"17768";"17237";"19766";"21614";"20381";"20182";"19707";"17626";"15244";"13210";"11531";"9813";"7242";"4471";"2579";"2446";
"Consolação";"2014";"2111";"1640";"1690";"2119";"3749";"6723";"6291";"4900";"3915";"3668";"3972";"3776";"3326";"2807";"2144";"4620";
"Cursino";"2014";"6661";"5831";"5973";"6638";"7468";"9055";"9896";"9211";"8033";"7690";"7722";"7221";"5857";"4413";"3357";"6226";
"Ermelino Matarazzo";"2014";"8437";"7692";"8272";"9331";"9508";"10584";"10404";"9493";"8578";"7875";"6844";"5900";"4682";"3246";"2165";"2881";
"Freguesia do Ó";"2014";"8977";"7548";"8395";"9862";"10268";"12010";"12545";"11512";"10173";"9784";"9657";"8883";"6936";"5123";"3653";"6159";
"Grajaú";"2014";"31069";"27552";"31042";"35124";"33708";"34474";"33537";"30312";"27235";"24389";"19899";"15920";"11604";"7741";"4403";"4458";
"Guaianases";"2014";"8599";"7614";"8614";"9686";"9613";"9607";"9254";"8437";"7525";"6783";"5725";"4841";"3703";"2516";"1614";"1889";
"Iguatemi";"2014";"11386";"10128";"11548";"13026";"12732";"12499";"11757";"10508";"9804";"9094";"7530";"5962";"4346";"2823";"1705";"1689";
"Ipiranga";"2014";"6501";"5665";"5922";"6683";"7447";"8961";"9749";"9162";"8278";"7647";"7303";"6611";"5454";"4212";"3186";"6439";
"Itaim Bibi";"2014";"5049";"4017";"3307";"3513";"4681";"7120";"9759";"9843";"7845";"6432";"6453";"6279";"5738";"4620";"3432";"6847";
"Itaim Paulista";"2014";"17862";"16388";"18450";"21282";"20808";"20796";"19718";"17675";"16144";"15081";"12832";"10532";"7783";"5419";"3513";"3866";
"Itaquera";"2014";"15317";"13812";"15303";"17520";"16955";"17949";"17982";"17201";"15722";"14142";"12044";"10243";"8133";"5972";"4149";"4970";
"Jabaquara";"2014";"14967";"13170";"13764";"15668";"16306";"19556";"20952";"19676";"16954";"15814";"14592";"12648";"10019";"7424";"5666";"8898";
"Jaguara";"2014";"1437";"1252";"1376";"1528";"1637";"2041";"2172";"2001";"1740";"1651";"1653";"1573";"1328";"1064";"753";"1296";
"Jaguaré";"2014";"3595";"3264";"3476";"3764";"3961";"4662";"5170";"4766";"4007";"3408";"2991";"2455";"2019";"1600";"1208";"1799";
"Jaraguá";"2014";"15224";"13649";"15778";"17786";"17105";"17682";"17572";"16345";"14597";"13045";"11326";"9378";"6792";"4574";"2891";"3117";
"Jardim Ângela";"2014";"26583";"24663";"26825";"29627";"27971";"28755";"28702";"26477";"23525";"19854";"15183";"12355";"9117";"6019";"3618";"3741";
"Jardim Helena";"2014";"11399";"9694";"10775";"12460";"12130";"12212";"11688";"10562";"9519";"8613";"7153";"5920";"4511";"3244";"2154";"2463";
"Jardim Paulista";"2014";"4128";"3195";"2900";"3215";"4352";"7345";"9487";"8680";"6760";"6049";"6155";"6093";"5649";"4762";"3693";"7309";
"Jardim São Luís";"2014";"21396";"18816";"20846";"23160";"23096";"26261";"26651";"24281";"21231";"18381";"15346";"12901";"9917";"6896";"4394";"5101";
"Jaçanã";"2014";"6210";"6134";"6750";"7500";"7475";"8378";"8546";"7810";"6673";"6030";"5667";"5150";"4127";"3120";"2234";"3466";
