"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Água Rasa";"2014";"4702";"3907";"4151";"4745";"5388";"6453";"6895";"6790";"6054";"5880";"6146";"5665";"4753";"3843";"3003";"5793";
"Água Rasa";"2018";"4563";"4389";"3865";"4272";"4944";"5653";"6438";"6740";"6429";"5800";"5756";"5820";"5179";"4232";"3277";"5770";
"Alto de Pinheiros";"2014";"1771";"1730";"1800";"2075";"2495";"2997";"3182";"3369";"2986";"3026";"3307";"3030";"2764";"2330";"1896";"3560";
"Alto de Pinheiros";"2018";"1642";"1718";"1702";"1847";"2193";"2617";"2969";"3169";"3190";"2900";"3028";"3153";"2876";"2546";"2080";"3791";
"Anhanguera";"2014";"5526";"5377";"6056";"7084";"7028";"7016";"6512";"6261";"6130";"5516";"4181";"2963";"1943";"1126";"647";"691";
"Anhanguera";"2018";"5858";"5588";"5702";"6824";"7877";"7700";"7235";"6650";"6379";"6129";"5263";"3887";"2683";"1672";"936";"886";
"Aricanduva";"2014";"5318";"4922";"5478";"6276";"6401";"7279";"7416";"6821";"6426";"6167";"5712";"5193";"4287";"3504";"2692";"3995";
"Aricanduva";"2018";"5070";"5003";"4829";"5563";"6255";"6494";"7086";"6976";"6418";"6074";"5757";"5298";"4646";"3775";"2945";"4312";
"Artur Alvim";"2014";"6347";"5929";"6375";"7363";"7663";"8836";"9362";"8736";"7615";"6731";"6424";"5793";"5025";"3981";"2918";"4029";
"Artur Alvim";"2018";"6004";"5986";"5755";"6459";"7348";"7753";"8629";"8845";"8086";"7003";"6302";"5891";"5220";"4364";"3285";"4379";
"Barra Funda";"2014";"965";"731";"702";"723";"898";"1289";"1492";"1408";"1182";"949";"945";"895";"762";"640";"449";"1003";
"Barra Funda";"2018";"985";"919";"749";"755";"833";"1058";"1393";"1522";"1393";"1134";"956";"935";"848";"717";"554";"994";
