Localidades,SIGLA_DIST,Periodos,p0a4,0a4,p5a9,p5a9,p10a14,10a14,p15a19,15a19,p20a24,20a24,p25a29,25a29,p30a34,30a34,p35a39,35a39,p40a44,40a44,p45a49,45a49,p50a54,50a54,p55a59,55a59,p60a64,60a64,p65a69,65a69,p70a74,70a74,p75a79,75a79,cod ibge
agua Rasa,ARA,2018,"0,58",4563,"0,58",4389,"0,55",3865,"0,54",4272,"0,56",4944,"0,61",5653,"0,64",6438,"0,67",6740,"0,7",6429,"0,71",5800,"0,78",5756,"0,88",5820,"0,92",5179,"0,98",4232,"1,06",3277,"1,34",5770,
Alto de Pinheiros,API,2018,"0,21",1642,"0,23",1718,"0,24",1702,"0,23",1847,"0,25",2193,"0,28",2617,"0,29",2969,"0,31",3169,"0,35",3190,"0,36",2900,"0,41",3028,"0,48",3153,"0,51",2876,"0,59",2546,"0,67",2080,"0,88",3791,
Anhanguera,ANH,2018,"0,74",5858,"0,74",5588,"0,81",5702,"0,86",6824,"0,89",7877,"0,83",7700,"0,72",7235,"0,66",6650,"0,7",6379,"0,75",6129,"0,71",5263,"0,59",3887,"0,48",2683,"0,39",1672,"0,3",936,"0,21",886,
Aricanduva,ARI,2018,"0,64",5070,"0,66",5003,"0,68",4829,"0,7",5563,"0,7",6255,"0,7",6494,"0,7",7086,"0,69",6976,"0,7",6418,"0,75",6074,"0,78",5757,"0,8",5298,"0,83",4646,"0,87",3775,"0,95",2945,1,4312,
Artur Alvim,AAL,2018,"0,76",6004,"0,79",5986,"0,81",5755,"0,81",6459,"0,83",7348,"0,84",7753,"0,85",8629,"0,88",8845,"0,88",8086,"0,86",7003,"0,85",6302,"0,89",5891,"0,93",5220,"1,01",4364,"1,06",3285,"1,01",4379,
Barra Funda,BFU,2018,"0,12",985,"0,12",919,"0,11",749,"0,09",755,"0,09",833,"0,11",1058,"0,14",1393,"0,15",1522,"0,15",1393,"0,14",1134,"0,13",956,"0,14",935,"0,15",848,"0,17",717,"0,18",554,"0,23",994,
Bela Vista,BVI,2018,"0,51",4052,"0,47",3563,"0,37",2640,"0,33",2624,"0,36",3175,"0,52",4866,"0,78",7917,"0,85",8613,"0,75",6848,"0,66",5354,"0,64",4703,"0,66",4364,"0,71",3997,"0,78",3384,"0,81",2513,"0,93",4001,
Belem,BEL,2018,"0,5",3951,"0,46",3500,"0,35",2511,"0,32",2530,"0,31",2752,"0,35",3265,"0,43",4319,"0,45",4533,"0,42",3873,"0,39",3174,"0,39",2889,"0,42",2760,"0,43",2421,"0,45",1966,"0,46",1408,"0,61",2638,
Bom Retiro,BRE,2018,"0,37",2893,"0,35",2682,"0,31",2186,"0,29",2297,"0,29",2547,"0,32",3011,"0,36",3672,"0,36",3592,"0,33",3028,"0,3",2466,"0,3",2209,"0,29",1944,"0,3",1667,"0,3",1300,"0,3",919,"0,37",1611,
Bras,BRS,2018,"0,34",2722,"0,31",2366,"0,24",1708,"0,23",1853,"0,24",2100,"0,28",2583,"0,32",3228,"0,31",3154,"0,3",2711,"0,28",2250,"0,26",1915,"0,25",1684,"0,25",1403,"0,24",1032,"0,23",717,"0,22",952,
