"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Água Rasa";"2014";"4702";"3907";"4151";"4745";"5388";"6453";"6895";"6790";"6054";"5880";"6146";"5665";"4753";"3843";"3003";"5793";
"Água Rasa";"2015";"4897";"3852";"4024";"4667";"5171";"6316";"6826";"6914";"6068";"5740";"6149";"5778";"4852";"3953";"2979";"5774";
"Água Rasa";"2016";"4785";"4027";"3973";"4534";"5096";"6092";"6696";"6857";"6188";"5762";"6019";"5794";"4962";"4046";"3076";"5776";
"Água Rasa";"2017";"4674";"4205";"3920";"4402";"5022";"5872";"6569";"6799";"6308";"5782";"5888";"5807";"5069";"4139";"3176";"5774";
"Água Rasa";"2018";"4563";"4389";"3865";"4272";"4944";"5653";"6438";"6740";"6429";"5800";"5756";"5820";"5179";"4232";"3277";"5770";
"Alto de Pinheiros";"2014";"1771";"1730";"1800";"2075";"2495";"2997";"3182";"3369";"2986";"3026";"3307";"3030";"2764";"2330";"1896";"3560";
"Alto de Pinheiros";"2015";"1769";"1712";"1745";"2012";"2391";"2950";"3093";"3441";"2971";"2924";"3337";"3044";"2815";"2395";"1897";"3617";
"Alto de Pinheiros";"2016";"1727";"1716";"1732";"1956";"2323";"2836";"3053";"3348";"3044";"2917";"3232";"3082";"2837";"2446";"1957";"3676";
"Alto de Pinheiros";"2017";"1684";"1717";"1716";"1901";"2258";"2725";"3011";"3257";"3118";"2910";"3130";"3118";"2857";"2496";"2018";"3735";
"Alto de Pinheiros";"2018";"1642";"1718";"1702";"1847";"2193";"2617";"2969";"3169";"3190";"2900";"3028";"3153";"2876";"2546";"2080";"3791";
"Anhanguera";"2014";"5526";"5377";"6056";"7084";"7028";"7016";"6512";"6261";"6130";"5516";"4181";"2963";"1943";"1126";"647";"691";
"Anhanguera";"2015";"5634";"5341";"5925";"7376";"7214";"7269";"6659";"6330";"6252";"5841";"4478";"3199";"2149";"1244";"702";"727";
"Anhanguera";"2016";"5711";"5428";"5854";"7191";"7433";"7419";"6848";"6439";"6299";"5939";"4731";"3417";"2316";"1374";"774";"777";
"Anhanguera";"2017";"5785";"5509";"5780";"7008";"7657";"7563";"7043";"6545";"6341";"6034";"4992";"3645";"2494";"1517";"851";"830";
"Anhanguera";"2018";"5858";"5588";"5702";"6824";"7877";"7700";"7235";"6650";"6379";"6129";"5263";"3887";"2683";"1672";"936";"886";
"Aricanduva";"2014";"5318";"4922";"5478";"6276";"6401";"7279";"7416";"6821";"6426";"6167";"5712";"5193";"4287";"3504";"2692";"3995";
"Aricanduva";"2015";"5374";"4772";"5246";"6278";"6169";"7130";"7448";"6811";"6370";"6159";"5693";"5287";"4338";"3591";"2687";"4087";
"Aricanduva";"2016";"5271";"4852";"5105";"6032";"6199";"6917";"7329";"6867";"6388";"6133";"5717";"5292";"4440";"3653";"2771";"4162";
"Aricanduva";"2017";"5171";"4928";"4966";"5793";"6228";"6705";"7209";"6923";"6403";"6104";"5739";"5295";"4542";"3714";"2858";"4237";
"Aricanduva";"2018";"5070";"5003";"4829";"5563";"6255";"6494";"7086";"6976";"6418";"6074";"5757";"5298";"4646";"3775";"2945";"4312";
"Artur Alvim";"2014";"6347";"5929";"6375";"7363";"7663";"8836";"9362";"8736";"7615";"6731";"6424";"5793";"5025";"3981";"2918";"4029";
